riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs148587130-T	7E-6	"(liability model)"	0.013	-	"0.36 unit increase"	[0.2-0.52]	NEK10	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	3:27236975	27770636	"Mez J"
rs185126971-A	8E-6	"(liability model)"	0.011	-	"0.37 unit increase"	[0.21-0.53]	PSMC6,ERO1A	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	14:52702250	27770636	"Mez J"
rs73239797-A	2E-6	"(liability model)"	0.013	-	"0.39 unit increase"	[0.23-0.55]	RNU7-188P,SEM1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:96446404	27770636	"Mez J"
rs113884973-C	8E-6	"(liability model)"	0.008	-	"0.43 unit increase"	[0.23-0.63]	ASB3,MIR4431	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:53256902	27770636	"Mez J"
rs182972826-T	4E-6	"(liability model)"	0.007	-	"0.44 unit increase"	[0.24-0.64]	SEC24B	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	4:109534350	27770636	"Mez J"
rs112920270-A	9E-6	"(liability model)"	0.008	-	"0.45 unit increase"	[0.25-0.65]	RNA5SP228,STK31	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:23931916	27770636	"Mez J"
rs141104697-A	8E-6	"(liability model)"	0.007	-	"0.46 unit increase"	[0.26-0.66]	GTF2H3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:123635804	27770636	"Mez J"
rs144464515-C	2E-6	"(liability model)"	0.01	-	"0.46 unit increase"	[0.26-0.66]	ZNRF4,PTPRS	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	19:5417482	27770636	"Mez J"
rs191707442-T	6E-6	"(liability model)"	0.008	-	"0.47 unit increase"	[0.27-0.67]	PPP1R3B-DT	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:9182000	27770636	"Mez J"
rs150269952-T	6E-6	"(liability model)"	0.009	-	"0.48 unit increase"	[0.26-0.7]	RASSF5	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:206526352	27770636	"Mez J"
rs144998240-A	8E-7	"(liability model)"	0.006	-	"0.5 unit increase"	[0.3-0.7]	COL25A1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	4:109251730	27770636	"Mez J"
rs138543081-T	1E-6	"(liability model)"	0.009	-	"0.5 unit increase"	[0.3-0.7]	RAD23B,ZNF462	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	9:107043881	27770636	"Mez J"
rs192013290-T	1E-6	"(liability model)"	0.006	-	"0.51 unit increase"	[0.29-0.73]	HMCN1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:185780742	27770636	"Mez J"
rs144077517-A	2E-6	"(liability model)"	0.005	-	"0.54 unit increase"	[0.32-0.76]	SCAPER	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	15:76352686	27770636	"Mez J"
rs142835438-A	8E-7	"(liability model)"	0.007	-	"0.54 unit increase"	[0.32-0.76]	LINC02986,RPSAP47	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:80555470	27770636	"Mez J"
rs184695264-T	4E-6	"(liability model)"	0.005	-	"0.58 unit increase"	[0.33-0.83]	LINC02421,LINC01479	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:67780260	27770636	"Mez J"
rs921390-T	1E-6	"(liability model)"	0.005	-	"0.58 unit increase"	[0.34-0.82]	LINC02114,LINC02063	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	5:4515659	27770636	"Mez J"
rs150291119-A	3E-6	"(liability model)"	0.005	-	"0.6 unit increase"	[0.35-0.85]	NAALADL2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	3:174769522	27770636	"Mez J"
rs8077028-T	1E-6	"(liability model)"	0.751	-	"0.09 unit decrease"	[0.051-0.129]	TIMP2,CEP295NL	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	17:78891959	27770636	"Mez J"
rs2244526-T	6E-6	"(liability model)"	0.824	-	"0.09 unit decrease"	[0.051-0.129]	SELP	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:169617708	27770636	"Mez J"
rs17022021-T	8E-6	"(liability model)"	0.843	-	"0.09 unit decrease"	[0.051-0.129]	RBMS3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	3:28837197	27770636	"Mez J"
rs1034435-A	3E-6	"(liability model)"	0.659	-	"0.07 unit decrease"	[0.031-0.109]	TAFA5	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	22:48492443	27770636	"Mez J"
rs4760243-A	8E-6	"(liability model)"	0.566	-	"0.07 unit decrease"	[0.031-0.109]	LINC02388,LRIG3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:58828030	27770636	"Mez J"
rs7260181-T	8E-6	"(liability model)"	0.57	-	"0.07 unit decrease"	[0.031-0.109]	PPP5D1P	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	19:46595170	27770636	"Mez J"
rs12716755-A	6E-6	"(liability model)"	0.608	-	"0.07 unit increase"	[0.031-0.109]	KLHL36,USP10	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	16:84699678	27770636	"Mez J"
rs3820443-T	1E-6	"(liability model)"	0.611	-	"0.07 unit increase"	[0.031-0.109]	CIMAP3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:111350283	27770636	"Mez J"
rs846858-A	3E-6	"(liability model)"	0.272	-	"0.08 unit increase"	[0.041-0.119]	IGSF23	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	19:44625528	27770636	"Mez J"
rs5771225-T	5E-6	"(liability model)"	0.217	-	"0.09 unit increase"	[0.051-0.129]	SELENOO	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	22:50201044	27770636	"Mez J"
rs7313581-T	8E-7	"(liability model)"	0.218	-	"0.09 unit increase"	[0.051-0.129]	RNU4-67P,KRAS	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:25269783	27770636	"Mez J"
rs2699450-A	4E-6	"(liability model)"	0.211	-	"0.09 unit increase"	[0.051-0.129]	CDCA7L,RAPGEF5	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:22018573	27770636	"Mez J"
rs6945197-T	6E-6	"(liability model)"	0.16	-	"0.09 unit increase"	[0.051-0.129]	ZP3P2,TRPC6P8	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:136477062	27770636	"Mez J"
rs184992198-T	2E-6	"(liability model)"	0.816	-	"0.11 unit increase"	[0.071-0.149]	BNIP3P13,ZNF90	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	19:20064649	27770636	"Mez J"
rs115972394-A	6E-6	"(liability model)"	0.147	-	"0.11 unit increase"	[0.051-0.169]	ACTR3C,ATP6V0E2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:149924921	27770636	"Mez J"
rs73215707-T	8E-6	"(liability model)"	0.908	-	"0.12 unit increase"	[0.061-0.179]	LINC01866,CYRIA	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:16736702	27770636	"Mez J"
rs79926713-T	8E-6	"(liability model)"	0.082	-	"0.13 unit increase"	[0.071-0.189]	SYNGAP1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	6:33427745	27770636	"Mez J"
rs73732514-A	2E-6	"(liability model)"	0.929	-	"0.14 unit increase"	[0.081-0.199]	CTD-2194D22.4,Y_RNA	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	5:1983817	27770636	"Mez J"
rs62177277-T	2E-6	"(liability model)"	0.056	-	"0.16 unit increase"	[0.1-0.22]	SESTD1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:179139721	27770636	"Mez J"
rs73681522-A	4E-6	"(liability model)"	0.051	-	"0.16 unit increase"	[0.082-0.238]	RBMX2P4,ETV1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:13656708	27770636	"Mez J"
rs2234017-C	7E-6	"(liability model)"	0.056	-	"0.17 unit increase"	[0.092-0.248]	TAS2R5	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:141791266	27770636	"Mez J"
rs147597631-T	2E-6	"(liability model)"	0.061	-	"0.18 unit increase"	[0.1-0.26]	CSNK2A1,TCF15	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	20:566915	27770636	"Mez J"
rs145848414-A	3E-6	"(liability model)"	0.04	-	"0.21 unit increase"	[0.13-0.29]	SUMO2P6,HIGD1AP3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	5:174587111	27770636	"Mez J"
rs147985478-A	3E-6	"(liability model)"	0.977	-	"0.25 unit increase"	[0.15-0.35]	PRANCR	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:69997949	27770636	"Mez J"
rs116050881-T	6E-7	"(liability model)"	0.026	-	"0.25 unit increase"	[0.15-0.35]	LINC01756,LINC01648	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:29684252	27770636	"Mez J"
rs144573434-T	5E-7	"(liability model)"	0.997	-	"1.14 unit decrease"	[0.69-1.59]	RPS19P6,RPS20P25	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	9:81079667	27770636	"Mez J"
rs181228315-A	2E-6	"(liability model)"	0.986	-	"0.35 unit decrease"	[0.21-0.49]	TMEM94	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	17:75453551	27770636	"Mez J"
rs147285445-T	4E-6	"(liability model)"	0.998	-	"1.03 unit decrease"	[0.6-1.46]	ANKRD22	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	10:88850285	27770636	"Mez J"
rs187295598-T	6E-6	"(liability model)"	0.988	-	"0.34 unit decrease"	[0.18-0.5]	GPR180	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	13:94628579	27770636	"Mez J"
rs141976661-A	5E-7	"(liability model)"	0.997	-	"0.88 unit decrease"	[0.55-1.21]	LINC00624	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:147483513	27770636	"Mez J"
rs77544685-T	5E-6	"(liability model)"	0.013	-	"0.33 unit decrease"	[0.19-0.47]	RPL15P15,LINC02151	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	11:116082456	27770636	"Mez J"
rs185170954-A	9E-6	"(liability model)"	0.997	-	"0.82 unit decrease"	[0.47-1.17]	SEMA3A,RAD23BP2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:83870966	27770636	"Mez J"
rs75635567-T	5E-6	"(liability model)"	0.985	-	"0.3 unit decrease"	[0.16-0.44]	BAALC,BAALC-AS1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:103186989	27770636	"Mez J"
rs181696879-A	4E-7	"(liability model)"	0.994	-	"0.67 unit decrease"	[0.42-0.92]	MCPH1-AS1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:6680850	27770636	"Mez J"
rs146322114-A	2E-6	"(liability model)"	0.029	-	"0.25 unit decrease"	[0.15-0.35]	PCSK6	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	15:101501820	27770636	"Mez J"
rs141846544-T	9E-6	"(liability model)"	0.996	-	"0.65 unit decrease"	[0.36-0.94]	RNU6-1213P,Y_RNA	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:80432793	27770636	"Mez J"
rs186588455-A	6E-6	"(liability model)"	0.964	-	"0.22 unit decrease"	[0.12-0.32]	NPEPPSP1,MRPL45	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	17:38287606	27770636	"Mez J"
rs140587050-C	5E-6	"(liability model)"	0.995	-	"0.63 unit decrease"	[0.36-0.9]	IRAK1BP1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	6:78889320	27770636	"Mez J"
rs114179644-T	8E-6	"(liability model)"	0.969	-	"0.21 unit decrease"	[0.11-0.31]	CPM,CPSF6	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:69160349	27770636	"Mez J"
rs145840463-A	6E-6	"(liability model)"	0.036	-	"0.21 unit decrease"	[0.11-0.31]	CFAP74	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:1950293	27770636	"Mez J"
rs10075047-A	5E-6	"(liability model)"	0.032	-	"0.21 unit decrease"	[0.11-0.31]	CCDC112,CTNNA1P1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	5:115357977	27770636	"Mez J"
rs10060040-A	8E-6	"(liability model)"	0.053	-	"0.17 unit decrease"	[0.092-0.248]	RNU6-679P,CTNND2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	5:11930025	27770636	"Mez J"
rs62179067-T	8E-7	"(liability model)"	0.941	-	"0.16 unit decrease"	[0.1-0.22]	RAD52P1,SESTD1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:179270456	27770636	"Mez J"
rs56249755-A	5E-7	"(liability model)"	0.939	-	"0.16 unit decrease"	[0.1-0.22]	FAM240B	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	9:38711009	27770636	"Mez J"
rs115317194-T	2E-6	"(liability model)"	0.067	-	"0.15 unit decrease"	[0.091-0.209]	SLMAP	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	3:57830215	27770636	"Mez J"
rs75770912-A	8E-6	"(liability model)"	0.074	-	"0.14 unit decrease"	[0.081-0.199]	AOX1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:200653321	27770636	"Mez J"
rs7698880-C	2E-6	"(liability model)"	0.124	-	"0.14 unit decrease"	[0.081-0.199]	UNC93B4	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	4:4148701	27770636	"Mez J"
rs76816469-T	1E-6	"(liability model)"	0.101	-	"0.12 unit decrease"	[0.061-0.179]	CDH1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	16:68759780	27770636	"Mez J"
rs61233297-A	8E-6	"(liability model)"	0.094	-	"0.11 unit decrease"	[0.051-0.169]	IQGAP2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	5:76567335	27770636	"Mez J"
rs853656-T	4E-6	"(liability model)"	0.167	-	"0.09 unit decrease"	[0.051-0.129]	RASSF8	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:25965239	27770636	"Mez J"
rs181990369-A	4E-6	"(liability model)"	0.988	-	"0.37 unit decrease"	[0.21-0.53]	DLC1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	8:13182155	27770636	"Mez J"
rs145282773-T	2E-6	"(liability model)"	0.997	-	"1.04 unit decrease"	[0.61-1.47]	HMGA2-AS1,HMGA2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	12:65859519	27770636	"Mez J"
rs147150305-A	4E-7	"(liability model)"	0.984	-	"0.35 unit decrease"	[0.21-0.49]	PLCL1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:198252846	27770636	"Mez J"
rs186891871-C	9E-6	"(liability model)"	0.998	-	"0.98 unit decrease"	[0.55-1.41]	ADGRL2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:81589710	27770636	"Mez J"
rs142660142-T	2E-6	"(liability model)"	0.986	-	"0.34 unit decrease"	[0.2-0.48]	HMG20A,LINGO1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	15:77611050	27770636	"Mez J"
rs139638356-T	2E-6	"(liability model)"	0.996	-	"0.83 unit decrease"	[0.48-1.18]	RPS20P25,RPS19P6	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	9:80903300	27770636	"Mez J"
rs144167489-T	2E-6	"(liability model)"	0.017	-	"0.32 unit decrease"	[0.18-0.46]	LINC00626,SUMO1P2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:168874774	27770636	"Mez J"
rs115798104-A	9E-7	"(liability model)"	0.997	-	"0.8 unit decrease"	[0.49-1.11]	MECOM	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	3:169273046	27770636	"Mez J"
rs146997164-C	9E-6	"(liability model)"	0.97	-	"0.26 unit decrease"	[0.14-0.38]	CCZ1B,OR7E39P	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:6830481	27770636	"Mez J"
rs138449900-C	3E-6	"(liability model)"	0.996	-	"0.66 unit decrease"	[0.39-0.93]	CNTNAP5-DT,RN7SKP102	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	2:123951121	27770636	"Mez J"
rs12661302-C	3E-6	"(liability model)"	0.977	-	"0.25 unit decrease"	[0.15-0.35]	GRIK2,R3HDM2P2	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	6:103817252	27770636	"Mez J"
rs117022236-A	4E-6	"(liability model)"	0.995	-	"0.63 unit decrease"	[0.36-0.9]	AKR7A3	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:19288434	27770636	"Mez J"
rs115443594-T	4E-6	"(liability model)"	0.966	-	"0.22 unit decrease"	[0.12-0.32]	PRPF19P1,CDH7	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	18:65993723	27770636	"Mez J"
rs183291664-T	3E-6	"(liability model)"	0.996	-	"0.58 unit decrease"	[0.34-0.82]	SCAPER	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	15:76713822	27770636	"Mez J"
rs142076474-A	4E-6	"(liability model)"	0.994	-	"0.58 unit decrease"	[0.34-0.82]	CEP63	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	3:134501479	27770636	"Mez J"
rs181299481-A	4E-6	"(liability model)"	0.994	-	"0.58 unit decrease"	[0.33-0.83]	RNY4P18,MIR7702	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	9:111149099	27770636	"Mez J"
rs191404864-A	5E-6	"(liability model)"	0.006	-	"0.53 unit decrease"	[0.29-0.77]	BICRA	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	19:47635083	27770636	"Mez J"
rs112404845-A	4E-8	"(liability model)"	0.991	-	"0.47 unit decrease"	[0.29-0.65]	CICP17,ROBO2P1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	7:51510325	27770636	"Mez J"
rs183256737-A	2E-6	"(liability model)"	0.993	-	"0.46 unit decrease"	[0.26-0.66]	SEC24B-AS1	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	4:109373310	27770636	"Mez J"
rs79930850-A	3E-6	"(liability model)"	0.99	-	"0.45 unit decrease"	[0.25-0.65]	CASP12,LINC02552	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	11:104874043	27770636	"Mez J"
rs143261188-C	3E-6	"(liability model)"	0.992	-	"0.44 unit decrease"	[0.24-0.64]	TENM4	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	11:78938571	27770636	"Mez J"
rs115078773-A	7E-6	"(liability model)"	0.992	-	"0.44 unit decrease"	[0.24-0.64]	TMCO4	"Late-onset Alzheimer's disease"	"late-onset Alzheimers disease"	-	GCST003815	1:19693032	27770636	"Mez J"
