riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs9899375-T	5E-9	"(cohort study, AA)"	0.03	3.3	-	[2.21-4.93]	CHD3	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	17:7908297	26089329	"Carty CL"
rs704341-A	7E-7	(AA)	0.07	-	"0.62 unit increase"	[0.38-0.86]	PTPRG	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	3:61963062	26089329	"Carty CL"
rs11572061-A	1E-6	(AA)	0.97	-	"0.59 unit decrease"	[0.35-0.83]	CDC5L	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	6:44448340	26089329	"Carty CL"
rs10400694-C	9E-7	(AA)	0.52	-	"0.24 unit increase"	[0.14-0.34]	LINC02305,MTND4P33	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	14:84147550	26089329	"Carty CL"
rs4471613-A	5E-7	(AA)	0.02	-	"0.9 unit increase"	[0.55-1.25]	ALDH1A2	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	15:58259495	26089329	"Carty CL"
rs5752326-T	9E-7	(AA)	0.79	-	"0.31 unit decrease"	[0.19-0.43]	HPS4	"Ischemic stroke"	"Ischemic stroke"	-	GCST002988	22:26448024	26089329	"Carty CL"
rs1800594-A	2E-6	(EA)	0.69	1.18	-	[1.11-1.27]	F5	"Ischemic stroke"	"Ischemic stroke"	-	GCST003324	1:169541286	26732560	"Cheng YC"
rs12435908-A	7E-6	(EA)	0.93	1.29	-	[1.15-1.44]	FUT8	"Ischemic stroke"	"Ischemic stroke"	-	GCST003324	14:65654750	26732560	"Cheng YC"
rs6565653-T	6E-7	(EA)	0.46	1.2	-	[1.12-1.29]	SLC26A11	"Ischemic stroke"	"Ischemic stroke"	-	GCST003324	17:80227984	26732560	"Cheng YC"
rs11196288-G	1E-8	-	0.05	1.41	-	[1.25-1.59]	RNU7-165P,TCF7L2	"Ischemic stroke"	"Ischemic stroke"	-	GCST003324	10:113297684	26732560	"Cheng YC"
rs10744777-T	4E-9	-	0.667	1.07	-	[1.05-1.09]	ALDH2	"Ischemic stroke"	"Ischemic stroke"	-	GCST003258	12:111795214	26708676	"Pulit SL"
rs2634074-T	3E-14	-	0.021	1.1	-	[1.07-1.12]	PITX2,LINC01438	"Ischemic stroke"	"Ischemic stroke"	-	GCST003258	4:110755885	26708676	"Pulit SL"
rs2107595-A	9E-10	-	0.157	1.09	-	[1.06-1.12]	TWIST1,HDAC9	"Ischemic stroke"	"Ischemic stroke"	-	GCST003258	7:19009765	26708676	"Pulit SL"
rs74475935-G	5E-11	"(African ancestry, CCSc)"	0.018	4.63	-	[2.77-7.72]	ABCC1	"Ischemic stroke (undetermined subtype)"	"Ischemic stroke"	-	GCST003261	16:15961249	26708676	"Pulit SL"
rs10437851-A	3E-6	-	0.0597	2.356	-	[1.641-3.381]	MIR4497,GLTP	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	12:109848624	33632238	"Song Y"
rs141229873-C	5E-6	-	0.02766	2.841	-	[1.811-4.457]	B3GLCT,RXFP2	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	13:31457661	33632238	"Song Y"
rs117760252-G	8E-6	-	0.04684	2.38	-	[1.628-3.478]	RPP40P2,POLR3KP1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	13:59189406	33632238	"Song Y"
rs75065922-A	4E-7	-	0.0101	4.89	-	[2.646-9.037]	RPL7P45,DAOA-AS1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	13:105158847	33632238	"Song Y"
rs145964053-A	2E-7	-	0.02576	3.3	-	[2.096-5.193]	RPL31P5,PPP2R5E	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	14:63558017	33632238	"Song Y"
rs563061914-G	7E-6	-	0.01014	4.456	-	[2.322-8.551]	ATP8B4,DTWD1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	15:49755304	33632238	"Song Y"
rs78330668-A	6E-6	-	0.1661	1.823	-	[1.406-2.364]	RNU6-380P,ARNT2	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	15:80603000	33632238	"Song Y"
rs571674178-A	7E-7	-	0.01272	4.382	-	[2.44599999999999-7.849]	USP32P4	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	17:62286593	33632238	"Song Y"
rs140272419-A	4E-6	-	0.1009	2.069	-	[1.519-2.82]	EPG5,SLC14A1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	18:45779354	33632238	"Song Y"
rs76141775-T	8E-6	-	0.03838	2.536	-	[1.68699999999999-3.813]	MRPS5P4,MC4R	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	18:60380321	33632238	"Song Y"
rs182325265-A	9E-7	-	0.01412	4.14	-	[2.347-7.302]	LINC01893,ZNF516	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	18:76260869	33632238	"Song Y"
rs140013767-G	3E-6	-	0.02802	3.24	-	[1.983-5.29299999999999]	PTPRT	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	20:42663082	33632238	"Song Y"
rs1433679-A	2E-6	-	0.2857	1.517	-	[1.279-1.8]	PGLYRP3	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	1:153298572	33632238	"Song Y"
rs55650308-A	7E-6	-	0.05506	1.881	-	[1.429-2.475]	RNA5SP63,U3	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	1:163536490	33632238	"Song Y"
rs6681506-C	8E-6	-	0.3542	1.463	-	[1.239-1.728]	TNR	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	1:175467235	33632238	"Song Y"
rs6718750-C	2E-6	-	0.05146	1.967	-	[1.486-2.605]	ISCA1P6,LINC01854	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	2:128785955	33632238	"Song Y"
rs182432357-T	2E-6	-	0.01191	2.986	-	[1.9-4.693]	MTX2	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	2:176325768	33632238	"Song Y"
rs145045076-G	1E-6	-	0.01558	2.881	-	[1.886-4.401]	CNTN6	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	3:1372443	33632238	"Song Y"
rs6808554-T	2E-6	-	0.02806	2.306	-	[1.63699999999999-3.247]	GRM7	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	3:6986632	33632238	"Song Y"
rs3897976-A	3E-8	-	0.05095	2.162	-	[1.646-2.84]	ULK4	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	3:41565201	33632238	"Song Y"
rs114019667-T	1E-6	-	0.06764	1.894	-	[1.464-2.451]	KBTBD8,RPL21P41	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	3:66659609	33632238	"Song Y"
rs142535310-C	2E-6	-	0.01136	3.22	-	[1.986-5.21899999999999]	LARP1BP1,TECRL	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	4:63840012	33632238	"Song Y"
rs244040-A	2E-6	-	0.1415	1.639	-	[1.339-2.006]	ENPEP,ZBED1P1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	4:110308365	33632238	"Song Y"
rs142931664-T	1E-6	-	0.01956	2.596	-	[1.761-3.826]	NPY1R	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	4:163340679	33632238	"Song Y"
rs192773663-T	1E-6	-	0.01687	2.711	-	[1.81-4.06]	NDUFS6	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	5:1812246	33632238	"Song Y"
rs791980-A	7E-6	-	0.3276	0.6461	-	[0.5342-0.7816]	SPTLC1P2,RNU6-1060P	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	6:23668876	33632238	"Song Y"
rs143557812-C	8E-6	-	0.01597	2.635	-	[1.72099999999999-4.037]	AGMO	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	7:15375282	33632238	"Song Y"
rs10235954-T	6E-6	-	0.2132	1.518	-	[1.267-1.818]	ELAPOR2	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	7:86940903	33632238	"Song Y"
rs142267843-T	1E-7	-	0.01118	3.294	-	[2.12-5.118]	LINC02932,MTERF1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	7:91556500	33632238	"Song Y"
rs13281444-T	4E-6	-	0.3294	1.478	-	[1.252-1.745]	MCPH1-AS1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	8:6663107	33632238	"Song Y"
rs145590580-G	9E-6	-	0.02963	2.167	-	[1.541-3.049]	DEFA3,DEFA11P	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	8:7020174	33632238	"Song Y"
rs4529426-C	6E-6	-	0.01403	2.868	-	[1.82-4.521]	NRG1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	8:32795654	33632238	"Song Y"
rs138165528-A	9E-6	-	0.01075	3.017	-	[1.85199999999999-4.913]	LINC03018,RPL30P10	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	8:57545908	33632238	"Song Y"
rs143403875-G	5E-6	-	0.01017	3.125	-	[1.916-5.098]	COL14A1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	8:120099483	33632238	"Song Y"
rs188186076-A	7E-6	-	0.02953	2.221	-	[1.57-3.14399999999999]	ANKRD18A	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	9:38559674	33632238	"Song Y"
rs78281755-T	6E-6	-	0.02135	2.442	-	[1.659-3.594]	TMEM126B	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	11:85635366	33632238	"Song Y"
rs76506794-C	8E-6	-	0.01898	2.482	-	[1.664-3.702]	CCDC83	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	11:85887216	33632238	"Song Y"
rs141354661-T	9E-6	-	0.01903	2.463	-	[1.654-3.668]	PICALM	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	11:86023992	33632238	"Song Y"
rs78944797-G	8E-6	-	0.02194	2.366	-	[1.62199999999999-3.451]	PICALM,RNU6-560P	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	11:86151505	33632238	"Song Y"
rs147411380-T	4E-6	-	0.01241	3.069	-	[1.904-4.948]	USP28	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	11:113866944	33632238	"Song Y"
rs187806642-A	5E-6	-	0.01128	3.117	-	[1.91-5.088]	HTR3A,HTR3B	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	11:113967862	33632238	"Song Y"
rs149995739-A	3E-6	-	0.02548	2.347	-	[1.638-3.362]	PDZRN4,RNA5SP360	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	12:41585691	33632238	"Song Y"
rs138627431-A	6E-6	-	0.03003	2.223	-	[1.574-3.14]	LINC02400,MTND1P24	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	12:41750779	33632238	"Song Y"
rs7991835-T	9E-6	-	0.02414	2.351	-	[1.611-3.429]	NALCN-AS1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	13:100748028	33632238	"Song Y"
rs7159802-G	8E-6	-	0.1741	1.551	-	[1.28-1.879]	ILF2P2,BRMS1L	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	14:36033337	33632238	"Song Y"
rs546301734-G	5E-6	-	0.01385	2.865	-	[1.82-4.50899999999999]	LINC02315,FBXO33	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	14:39608269	33632238	"Song Y"
rs140269559-A	2E-6	-	0.02551	2.382	-	[1.669-3.4]	RNU6-297P,RPL18P1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	14:48471056	33632238	"Song Y"
rs77846086-C	6E-6	-	0.02468	2.355	-	[1.624-3.41399999999999]	PCNX1,SIPA1L1-AS1	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	14:71157650	33632238	"Song Y"
rs151140284-T	7E-6	-	0.01721	2.505	-	[1.678-3.738]	LINC02349,RORA	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	15:61262961	33632238	"Song Y"
rs149747987-T	4E-6	-	0.01169	3.05	-	[1.9-4.897]	ADAMTSL3	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	15:83947133	33632238	"Song Y"
rs79931750-T	6E-6	-	0.02921	2.213	-	[1.568-3.12399999999999]	KCTD13	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	16:29920793	33632238	"Song Y"
rs8059199-C	5E-6	-	0.2155	0.5723	-	[0.4509-0.7265]	ZFHX3	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	16:73678335	33632238	"Song Y"
rs11862987-T	4E-6	-	0.1561	1.582	-	[1.301-1.924]	SYCE1L,VN2R10P	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	16:77213607	33632238	"Song Y"
rs2848605-G	9E-6	-	0.3094	1.46	-	[1.235-1.725]	OSBPL1A	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	18:24332901	33632238	"Song Y"
rs274803-T	6E-6	-	0.3947	1.459	-	[1.238-1.718]	ZNF626	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	19:20659472	33632238	"Song Y"
rs77987151-A	1E-6	-	0.2594	1.517	-	[1.28-1.797]	PLCB4	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	20:9315837	33632238	"Song Y"
rs148441079-T	9E-6	-	0.0134	2.852	-	[1.796-4.53]	MACROD2	"Ischemic stroke in dyslipidemia"	"Ischemic stroke"	"rare dyslipidemia"	GCST90014132	20:14396707	33632238	"Song Y"
rs923254007-T	8E-7	-	0.01019	3.157	-	[2.0-4.982]	PRKCZ-AS1,PRKCZ	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	1:2184025	33632238	"Song Y"
rs145844325-A	6E-6	-	0.01499	2.56	-	[1.702-3.852]	MORN1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	1:2354728	33632238	"Song Y"
rs423796-A	6E-6	-	0.1877	1.462	-	"[1.2409999999999899-1.722]"	AJAP1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	1:4758345	33632238	"Song Y"
rs333146-A	7E-6	-	0.1921	0.6203	-	[0.5036-0.7642]	NFIA	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	1:61215828	33632238	"Song Y"
rs72655914-T	3E-6	-	0.02253	2.278	-	[1.614-3.216]	B4GALT4-AS1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	3:119242117	33632238	"Song Y"
rs117276818-C	6E-6	-	0.06617	1.71	-	[1.35599999999999-2.156]	EPHB1,SDHBP1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	3:135574430	33632238	"Song Y"
rs13097891-C	7E-6	-	0.08575	1.621	-	[1.31199999999999-2.002]	FXR1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	3:180869224	33632238	"Song Y"
rs117739669-A	8E-6	-	0.0556	1.774	-	[1.379-2.282]	DNAH11	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	7:21627284	33632238	"Song Y"
rs73696792-T	9E-6	-	0.01064	2.816	-	[1.781-4.452]	RN7SL292P,SGO1P2	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	7:52811360	33632238	"Song Y"
rs142267843-T	2E-6	-	0.01118	2.749	-	[1.808-4.18]	LINC02932,MTERF1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	7:91556500	33632238	"Song Y"
rs62522238-C	2E-6	-	0.2086	1.467	-	[1.253-1.719]	NIPAL2,POP1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	8:98181007	33632238	"Song Y"
rs150806794-A	2E-6	-	0.02304	2.21	-	[1.59-3.074]	SLC1A1,RNU6-694P	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	9:4478791	33632238	"Song Y"
rs148155931-T	3E-6	-	0.02029	2.372	-	[1.648-3.415]	TLR4,TPT1P9	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	9:118073620	33632238	"Song Y"
rs148025923-A	3E-7	-	0.0152	2.657	-	[1.82599999999999-3.868]	PRTFDC1,ARHGAP21	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	10:24794643	33632238	"Song Y"
rs11232439-G	4E-6	-	0.05974	1.737	-	[1.37199999999999-2.197]	MTND4LP18,COX6A1P4	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	11:81032737	33632238	"Song Y"
rs117975710-C	7E-6	-	0.03997	1.868	-	[1.421-2.456]	LINC02151,RPL15P15	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	11:116277897	33632238	"Song Y"
rs149381084-A	5E-6	-	0.01863	2.317	-	[1.615-3.323]	RNF17	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	13:24837433	33632238	"Song Y"
rs189825457-T	3E-6	-	0.0105	2.802	-	[1.817-4.321]	OR4E1,TRAV2	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	14:21697869	33632238	"Song Y"
rs139706713-A	3E-6	-	0.01137	2.771	-	[1.809-4.245]	LINC00640	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	14:51361080	33632238	"Song Y"
rs57068616-A	9E-6	-	0.02136	2.213	-	[1.559-3.141]	MPPE1P1,TTC8	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	14:88883992	33632238	"Song Y"
rs7500920-C	1E-5	-	0.1725	1.457	-	"[1.23299999999999-1.72099999999999]"	VAT1L	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	16:77927362	33632238	"Song Y"
rs113018692-C	6E-6	-	0.142	1.51	-	[1.263-1.806]	CCL16,LYZL6	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	17:35947866	33632238	"Song Y"
rs118080693-T	6E-6	-	0.03699	1.906	-	[1.442-2.52]	PSMB3	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	17:38763797	33632238	"Song Y"
rs552316137-C	9E-6	-	0.01629	2.376	-	[1.621-3.484]	GALNT1,NRBF2P1	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	18:35792648	33632238	"Song Y"
rs115711179-T	2E-6	-	0.03116	2.059	-	"[1.53199999999999-2.76899999999999]"	PDE9A	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	21:42655167	33632238	"Song Y"
rs5755044-G	4E-6	-	0.3125	1.406	-	[1.216-1.626]	LINC02885,LINC01643	"Ischemic stroke in hypertension"	"Ischemic stroke"	hypertension	GCST90014126	22:34429432	33632238	"Song Y"
rs181436801-G	6E-6	-	0.01063	4.334	-	[2.295-8.185]	ZNHIT6	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	1:85673646	33632238	"Song Y"
rs9426948-T	2E-6	-	0.2029	1.852	-	[1.434-2.391]	FCRL5,LINC02772	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	1:157326238	33632238	"Song Y"
rs148981288-A	3E-6	-	0.0326	2.851	-	[1.841-4.416]	GALNT13-AS1,RNA5SP107	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	2:154553335	33632238	"Song Y"
rs140225704-G	4E-6	-	0.0104	4.606	-	[2.404-8.826]	EIF4A2	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	3:186789340	33632238	"Song Y"
rs73250983-A	7E-7	-	0.0303	3.012	-	[1.948-4.657]	LNX1,RPL21P44	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	4:53713292	33632238	"Song Y"
rs77888609-A	1E-6	-	0.01251	4.313	-	[2.388-7.79]	LINC02267	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	4:96748175	33632238	"Song Y"
rs117264960-T	1E-6	-	0.01797	3.475	-	[2.092-5.771]	COX7A2P2,STPG2	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	4:97022687	33632238	"Song Y"
rs13103455-C	8E-6	-	0.02127	3.159	-	[1.908-5.23]	MARCHF1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	4:163823743	33632238	"Song Y"
rs149608518-T	1E-8	-	0.01035	5.587	-	[3.086-10.12]	RNU6-284P,MARCHF1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	4:164551523	33632238	"Song Y"
rs555875634-T	9E-6	-	0.0105	4.209	-	[2.235-7.92399999999999]	MIR4277,PDCD6P1	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	5:1664084	33632238	"Song Y"
rs11743474-C	4E-6	-	0.09698	2.083	-	[1.528-2.841]	LINC02997	"Ischemic stroke in diabetes mellitus"	"Ischemic stroke"	"diabetes mellitus"	GCST90014129	5:67803479	33632238	"Song Y"
