riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs6828005-G	3E-11	-	0.45	1.29	-	[1.2-1.4]	AFAP1-AS1,AFAP1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	4:7772625	37248441	"Adlam D"
rs1507928-C	9E-9	-	0.48	1.25	-	[1.16-1.35]	ZNF827	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	4:145866883	37248441	"Adlam D"
rs73102285-G	1E-8	-	0.27	1.27	-	[1.17-1.38]	ITGA1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	5:52859808	37248441	"Adlam D"
rs9349379-A	3E-32	-	0.62	1.64	-	[1.51-1.78]	PHACTR1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	6:12903725	37248441	"Adlam D"
rs2736923-A	5E-8	-	0.89	1.44	-	[1.26-1.64]	HTRA1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	10:122499546	37248441	"Adlam D"
rs11021221-A	4E-15	-	0.17	1.47	-	[1.33-1.61]	LNCRNA-IUR,FAM76B	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	11:95575690	37248441	"Adlam D"
rs11172113-T	9E-31	-	0.62	1.62	-	[1.49-1.76]	LRP1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	12:57133500	37248441	"Adlam D"
rs1689040-C	7E-10	-	0.59	1.28	-	[1.18-1.39]	POC1B-AS1,ATP2B1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	12:89584456	37248441	"Adlam D"
rs7326444-G	1E-10	-	0.64	1.31	-	[1.21-1.42]	COL4A1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	13:110185889	37248441	"Adlam D"
rs11838776-G	2E-18	-	0.73	1.5	-	[1.37-1.65]	COL4A2	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	13:110388334	37248441	"Adlam D"
rs7174973-G	2E-13	-	0.11	1.54	-	[1.37-1.72]	FBN1	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	15:48471557	37248441	"Adlam D"
rs10851839-A	6E-11	-	0.68	1.32	-	[1.22-1.44]	THSD4	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	15:71336031	37248441	"Adlam D"
rs28451064-G	1E-22	-	0.88	2.04	-	[1.77-2.35]	LINC00310,KCNE2	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	21:34221526	37248441	"Adlam D"
rs137507-T	3E-8	-	0.11	1.38	-	[1.23-1.55]	SYN3	"Spontaneous coronary artery dissection"	"spontaneous coronary artery dissection"	-	GCST90245878	22:32886984	37248441	"Adlam D"
rs17136627-A	2E-8	-	0.008	12.6	-	[4.13-38.5]	KCNN2	"Coronary arterial lesions in patients with Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST002026	5:114463289	23677057	"Kim JJ"
rs7849782-?	8E-6	-	NR	4.03	-	[NR]	GRIN3A	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003192	9:101664982	26434682	"Lin YJ"
rs12590437-?	9E-6	-	NR	4.009	-	[NR]	TTC6	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003192	14:37977887	26434682	"Lin YJ"
rs899162-A	2E-7	-	0.141	3.2	-	[2.02-5.05]	SLC25A48,TIFAB	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST007192	5:135459219	30267110	"Kwon YC"
rs16921209-G	7E-9	-	0.007	32.22	-	[NR]	NEBL	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	10:20879174	27171184	"Kuo HC"
rs17076896-G	8E-9	-	0.014	21.03	-	[NR]	PSPC1P1,TUBA3C	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	13:19181923	27171184	"Kuo HC"
rs17782904-T	8E-8	-	0.003	45.95	-	[NR]	SETBP1	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	18:44733745	27171184	"Kuo HC"
rs11793049-A	2E-7	-	NR	-	-	-	ZNF618	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	9:114011589	27171184	"Kuo HC"
rs12210919-C	4E-7	-	0.02055	14.02	-	[NR]	MDGA1	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	6:37677736	27171184	"Kuo HC"
rs12900413-C	7E-7	-	0.06164	8.698	-	[NR]	MESP2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	15:89777808	27171184	"Kuo HC"
rs10127456-T	1E-6	-	0.0137	16.0	-	[NR]	FHAD1-AS1,FHAD1	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	1:15327376	27171184	"Kuo HC"
rs1842579-?	2E-6	-	0.05137	8.618	-	[NR]	COL24A1	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	1:85823399	27171184	"Kuo HC"
rs10185178-?	3E-6	-	0.006849	22.89	-	[NR]	MYO3B	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	2:170499764	27171184	"Kuo HC"
rs12799264-?	3E-6	-	0.006849	22.89	-	[NR]	NAV2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	11:19958686	27171184	"Kuo HC"
rs16837858-?	3E-6	-	0.006849	22.89	-	[NR]	CPNE4	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	3:131812484	27171184	"Kuo HC"
rs17349258-?	3E-6	-	0.006849	22.89	-	[NR]	CSMD1	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	8:4983502	27171184	"Kuo HC"
rs12810016-?	3E-6	-	0.006897	22.74	-	[NR]	TMTC2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	12:82914584	27171184	"Kuo HC"
rs7902334-?	5E-6	-	0.4545	6.771	-	[NR]	CAMK1D	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	10:12603942	27171184	"Kuo HC"
rs12023377-?	5E-6	-	0.07192	7.374	-	[NR]	CSMD2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	1:33685660	27171184	"Kuo HC"
rs11624704-?	6E-6	-	0.0274	10.44	-	[NR]	NRXN3	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	14:78319734	27171184	"Kuo HC"
rs1233754-?	6E-6	-	0.0274	10.44	-	[NR]	MACROD2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	20:15572166	27171184	"Kuo HC"
rs1293386-?	7E-6	-	0.1849	6.366	-	[NR]	TSHZ2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	20:53180814	27171184	"Kuo HC"
rs4905138-?	8E-6	-	0.01712	12.76	-	[NR]	CCDC197	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	14:94000011	27171184	"Kuo HC"
rs17098586-?	9E-6	-	0.07534	7.013	-	[NR]	GRK5	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST003560	10:119246715	27171184	"Kuo HC"
rs6017006-A	2E-8	-	0.04	5.0	-	[2.8-9.0]	RNU6-743P,PPIAP21	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	20:43305980	33772158	"Hoggart C"
rs7871579-C	5E-7	-	0.15	2.8	-	[1.8-4.2]	MAN1B1	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	9:137096078	33772158	"Hoggart C"
rs2449565-G	2E-6	-	0.61	2.3	-	[1.6-3.3]	DOCK2	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	5:169708658	33772158	"Hoggart C"
rs10762437-G	4E-6	-	0.16	2.5	-	[1.7-3.8]	UNC5B	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	10:71298712	33772158	"Hoggart C"
rs35932034-C	4E-6	-	0.11	0.2	-	[0.09-0.4]	Y_RNA,LINC00882	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	3:106543458	33772158	"Hoggart C"
rs1989051-C	4E-6	-	0.57	2.2	-	[1.6-3.1]	LINC00824,RN7SKP226	"Coronary artery aneurysm in Kawasaki disease"	"coronary aneurysm"	"mucocutaneous lymph node syndrome"	GCST90013538	8:128281872	33772158	"Hoggart C"
rs35610040-G	1E-26	-	0.205443	-	"0.0562 mg/L decrease"	[NR]	CST3	"Plasma cystastin c levels in acute coronary syndrome"	"cystatin C measurement,acute coronary syndrome"	-	GCST002406	20:23635832	24952865	"Akerblom A"
rs16985615-?	4E-7	"(Conditioned on rs6048952)"	NR	-	-	-	CST4,CST3	"Plasma cystastin c levels in acute coronary syndrome"	"cystatin C measurement,acute coronary syndrome"	-	GCST002406	20:23661790	24952865	"Akerblom A"
rs35150895-A	6E-7	-	0.05382	3.4485	-	NR	RPS23P3,RNU6-699P	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	4:66580115	33445220	"Li Y"
rs7784948-T	2E-6	-	0.09338	2.5804	-	NR	SSU72L6,TMEM229A	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	7:124429457	33445220	"Li Y"
rs72935945-T	3E-6	-	0.1891	2.2328	-	NR	METTL24	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	6:110334472	33445220	"Li Y"
rs4714457-C	5E-6	-	0.219	2.1262	-	NR	FOXP4-AS1,NCR2	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	6:41410254	33445220	"Li Y"
rs2438162-A	5E-6	-	0.2833	2.0436	-	NR	ISCA1P6,LINC01854	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	2:128556655	33445220	"Li Y"
rs9998058-C	6E-6	-	0.0736	2.7108	-	NR	PALLD	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	4:168675402	33445220	"Li Y"
rs10421769-C	6E-6	-	0.3275	0.4201	-	NR	GPATCH1	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	19:33114406	33445220	"Li Y"
rs3849111-A	7E-6	-	0.3717	0.4318	-	NR	EPB41L4B	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	9:109232442	33445220	"Li Y"
rs56222681-A	9E-6	-	0.1431	2.3036	-	NR	SNORD28B,MIR1202	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	6:156157819	33445220	"Li Y"
rs1965492-C	9E-6	-	0.4236	1.9761	-	NR	SCAPER	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	15:76480985	33445220	"Li Y"
rs56076602-G	9E-6	-	0.07774	2.7811	-	NR	DSCAM	"Thrombosis in response to liver transplant"	"coronary thrombosis,GM11992"	"liver transplant"	GCST011434	21:40679234	33445220	"Li Y"
rs9368648-T	1E-9	-	NR	-	-	-	NAPGP2,SFTA2	"Severe coronary stenosis (family history of CAD interaction)"	"family history,coronary stenosis"	-	GCST011565	6:30956152	33766035	"Wakim V"
rs12593069-C	7E-10	-	NR	-	-	-	PCSK6	"Severe coronary stenosis (young age of onset interaction)"	"age at onset,coronary stenosis"	-	GCST011564	15:101355666	33766035	"Wakim V"
rs2343305-A	4E-7	-	NR	-	-	-	TSPAN14	"Severe coronary stenosis (young age of onset interaction)"	"age at onset,coronary stenosis"	-	GCST011564	10:80468431	33766035	"Wakim V"
rs6778944-G	7E-10	-	NR	-	-	-	PLD1,MTCO1P58	"Severe coronary stenosis (young age of onset interaction)"	"age at onset,coronary stenosis"	-	GCST011564	3:171548961	33766035	"Wakim V"
rs7835529-T	7E-10	-	NR	-	-	-	DLC1,SGCZ	"Severe coronary stenosis (young age of onset interaction)"	"age at onset,coronary stenosis"	-	GCST011564	8:13664494	33766035	"Wakim V"
rs200787930-T	1E-29	-	0.988	33.333336	-	-	PLCB2	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	15:40289298	30402224	"Yamada Y"
rs61734696-G	2E-29	-	0.988	33.333336	-	-	MARCHF1,ANP32CP	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	4:164197303	30402224	"Yamada Y"
rs199921354-T	3E-29	-	0.988	33.333336	-	-	VPS33B	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	15:91013841	30402224	"Yamada Y"
rs188378669-G	3E-29	-	0.988	33.333336	-	-	CXCL8	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	4:73741568	30402224	"Yamada Y"
rs115287176-G	1E-28	-	0.988	33.333336	-	-	TMOD4	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	1:151170961	30402224	"Yamada Y"
rs146092501-T	3E-28	-	0.988	25.0	-	-	COL6A3	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	2:237371861	30402224	"Yamada Y"
rs146879198-G	3E-28	-	0.988	25.0	-	-	ZNF77	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	19:2934109	30402224	"Yamada Y"
rs192210727-G	3E-23	-	0.987	10.0	-	-	ADGRL3	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	4:61909615	30402224	"Yamada Y"
rs11823828-T	4E-21	-	0.634	1.54	-	-	OR52E4,TRIM5	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	11:5884973	30402224	"Yamada Y"
rs671-A	4E-15	-	0.73	1.41	-	-	ALDH2	"Coronary artery disease"	"coronary artery disease"	-	GCST009879	12:111803962	30402224	"Yamada Y"
rs12734338-G	3E-7	-	NR	29.0	-	[3.95-212.9]	PPP1R12B	"Coronary heart disease"	"coronary artery disease"	-	GCST002298	1:202500595	24778558	"Domarkienė I"
rs3853444-G	5E-6	-	NR	7.69	-	[2.70-20.0]	LINC01438,MIR297	"Coronary heart disease"	"coronary artery disease"	-	GCST002298	4:110812980	24778558	"Domarkienė I"
rs3883013-G	3E-7	-	NR	29.0	-	[3.95-212.9]	UBE2Q2P1	"Coronary heart disease"	"coronary artery disease"	-	GCST002298	15:84545426	24778558	"Domarkienė I"
rs6905288-T	7E-8	-	NR	1.23	-	[NR]	LINC02537,VEGFA	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	6:43791136	22319020	"Davies RW"
rs12200560-?	6E-7	-	NR	1.11	-	[NR]	RPS7P8,FHL5	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	6:96632322	22319020	"Davies RW"
rs17458018-?	7E-6	-	NR	1.22	-	[NR]	FN1	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	2:215420652	22319020	"Davies RW"
rs3869109-G	1E-9	-	NR	1.14	-	[NR]	HLA-C,HCG27	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	6:31216419	22319020	"Davies RW"
rs2229238-?	7E-7	-	NR	1.45	-	[NR]	IL6R	"Coronary heart disease"	"coronary artery disease"	-	GCST001401	1:154465420	22319020	"Davies RW"
rs9349379-G	2E-9	-	0.74	1.15	-	[1.10-1.21]	PHACTR1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	6:12903725	22751097	"Lu X"
rs12524865-C	2E-7	-	0.61	1.11	-	[1.06-1.16]	TARID	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	6:133875536	22751097	"Lu X"
rs7136259-T	6E-10	-	0.39	1.11	-	[1.08-1.15]	ATP2B1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	12:89687411	22751097	"Lu X"
rs2123536-T	7E-11	-	0.39	1.12	-	[1.08-1.16]	CISD1P1,LINC01808	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	2:19745816	22751097	"Lu X"
rs1842896-T	1E-11	-	0.76	1.14	-	[1.10-1.19]	GUCY1A1,MTND1P22	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	4:155590307	22751097	"Lu X"
rs9268402-G	3E-15	-	0.59	1.16	-	[1.12-1.20]	TSBP1-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	6:32373576	22751097	"Lu X"
rs10757274-G	8E-45	-	0.46	1.37	-	[1.31-1.43]	CDKN2B-AS1	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	9:22096056	22751097	"Lu X"
rs11066280-A	2E-11	-	0.17	1.19	-	[1.13-1.25]	HECTD4	"Coronary heart disease"	"coronary artery disease"	-	GCST001587	12:112379979	22751097	"Lu X"
rs1333049-C	3E-56	-	NR	1.24	-	[1.21-1.28]	CDKN2B-AS1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	9:22125504	24262325	"Dichgans M"
rs9369640-?	3E-11	-	NR	1.0989	-	[1.08-1.14]	PHACTR1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:12901209	24262325	"Dichgans M"
rs1122608-?	3E-11	-	NR	1.1364	-	[1.09-1.18]	SMARCA4	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	19:11052925	24262325	"Dichgans M"
rs9982601-T	3E-10	-	NR	1.18	-	[1.12-1.24]	LINC00310,KCNE2	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	21:34226827	24262325	"Dichgans M"
rs11556924-?	3E-10	-	NR	1.0989	-	[1.06-1.12]	ZC3HC1,UBE2H-DT	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	7:130023656	24262325	"Dichgans M"
rs12190287-?	2E-9	-	NR	1.1111	-	[1.08-1.15]	TCF21	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:133893387	24262325	"Dichgans M"
rs17114036-?	1E-8	-	NR	1.1494	-	[1.1-1.22]	PLPP3	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	1:56497149	24262325	"Dichgans M"
rs602633-?	1E-8	-	NR	1.1111	-	[1.08-1.15]	CELSR2,PSRC1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	1:109278889	24262325	"Dichgans M"
rs6725887-C	2E-8	-	NR	1.14	-	[1.10-1.19]	WDR12	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	2:202881162	24262325	"Dichgans M"
rs7173743-?	7E-8	-	NR	1.0753	-	[1.05-1.11]	MORF4L1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	15:78849442	24262325	"Dichgans M"
rs9818870-T	1E-7	-	NR	1.11	-	[1.07-1.15]	MRAS	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	3:138403280	24262325	"Dichgans M"
rs2281727-G	1E-7	-	NR	1.07	-	[1.04-1.10]	SMG6	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	17:2214651	24262325	"Dichgans M"
rs12936587-?	2E-7	-	NR	1.0753	-	[1.04-1.11]	PEMT,SMCR2	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	17:17640408	24262325	"Dichgans M"
rs579459-C	2E-7	-	NR	1.1	-	[1.06-1.14]	ABO,Y_RNA	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	9:133278724	24262325	"Dichgans M"
rs264-?	3E-7	-	NR	1.1111	-	[1.06-1.15]	LPL	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	8:19955669	24262325	"Dichgans M"
rs9326246-C	3E-7	-	NR	1.15	-	[1.09-1.21]	LINC02702,BUD13	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	11:116741017	24262325	"Dichgans M"
rs3184504-T	9E-7	-	NR	1.07	-	[1.04-1.11]	SH2B3,ATXN2	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	12:111446804	24262325	"Dichgans M"
rs1878406-T	1E-6	-	NR	1.1	-	[1.06-1.14]	EDNRA,PRMT5P1	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	4:147472512	24262325	"Dichgans M"
rs12413409-?	1E-6	-	NR	1.1236	-	[1.08-1.19]	CNNM2	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	10:102959339	24262325	"Dichgans M"
rs2048327-C	1E-6	-	NR	1.07	-	[1.05-1.10]	SLC22A3	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	6:160442500	24262325	"Dichgans M"
rs501120-?	2E-6	-	NR	1.087	-	[1.05-1.14]	LINC03089,LINC00841	"Coronary artery disease"	"coronary artery disease"	-	GCST002289	10:44258419	24262325	"Dichgans M"
