riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs2292239-?	2E-25	-	NR	-	-	-	ERBB3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	12:56088396	19430480	"Barrett JC"
rs3184504-?	3E-27	-	NR	-	-	-	SH2B3,ATXN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	12:111446804	19430480	"Barrett JC"
rs3825932-?	8E-8	-	NR	-	-	-	CTSH	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	15:78943104	19430480	"Barrett JC"
rs1893217-?	4E-15	-	NR	-	-	-	PTPN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	18:12809341	19430480	"Barrett JC"
rs11203203-?	2E-9	-	NR	-	-	-	UBASH3A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	21:42416077	19430480	"Barrett JC"
rs3024505-?	2E-9	-	0.83	1.19	-	[1.10-1.30]	Y_RNA,IL10	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	1:206766559	19430480	"Barrett JC"
rs9388489-G	4E-13	-	0.45	1.17	-	[1.10-1.24]	CENPW,MIR588	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	6:126377573	19430480	"Barrett JC"
rs4948088-?	4E-8	-	0.95	1.3	-	[1.11-1.49]	GRB10,COBL	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	7:50959497	19430480	"Barrett JC"
rs10509540-?	1E-28	-	0.71	1.33	-	[1.25-1.43]	RNLS,MED6P1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	10:88263276	19430480	"Barrett JC"
rs4763879-A	2E-11	-	0.37	1.09	-	[1.02-1.16]	CD69	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	12:9757568	19430480	"Barrett JC"
rs4900384-G	4E-9	-	0.29	1.09	-	[1.02-1.16]	LINC02295,LINC01550	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	14:98032614	19430480	"Barrett JC"
rs7202877-G	3E-15	-	0.10	1.28	-	[1.17-1.41]	CTRB1,CTRB2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	16:75213347	19430480	"Barrett JC"
rs2281808-?	1E-11	-	0.64	1.11	-	[1.05-1.19]	SIRPG	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	20:1629905	19430480	"Barrett JC"
rs5753037-T	3E-16	-	0.39	1.1	-	[1.04-1.17]	HORMAD2,LIF-AS1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	22:30185733	19430480	"Barrett JC"
rs2269241-G	4E-7	-	0.19	1.1	-	[1.02-1.18]	PGM1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	1:63643100	19430480	"Barrett JC"
rs1534422-G	2E-6	-	0.46	1.08	-	[1.02-1.15]	MIR3681HG	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	2:12500615	19430480	"Barrett JC"
rs9268645-?	1E-100	-	NR	-	-	-	HLA-DRA	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	6:32440750	19430480	"Barrett JC"
rs2476601-?	9E-85	-	NR	-	-	-	PTPN22	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	1:113834946	19430480	"Barrett JC"
rs1990760-?	7E-9	-	NR	-	-	-	IFIH1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	2:162267541	19430480	"Barrett JC"
rs4505848-?	5E-13	-	NR	-	-	-	BLTP1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	4:122211337	19430480	"Barrett JC"
rs2290400-?	6E-13	-	0.50	1.15	-	[1.08-1.22]	GSDMB	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	17:39909987	19430480	"Barrett JC"
rs3087243-?	1E-15	-	NR	-	-	-	CTLA4,ICOS	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	2:203874196	19430480	"Barrett JC"
rs7804356-?	5E-9	-	0.76	1.14	-	[1.06-1.22]	SKAP2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	7:26852046	19430480	"Barrett JC"
rs16956936-?	5E-7	-	0.86	1.09	-	[1.00-1.19]	DNAH2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	17:7730374	19430480	"Barrett JC"
rs425105-?	3E-11	-	0.84	1.16	-	[1.08-1.27]	PRKD2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	19:46705224	19430480	"Barrett JC"
rs7221109-?	1E-9	-	0.65	1.05	-	[0.99-1.12]	CCR7,SMARCE1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	17:40614034	19430480	"Barrett JC"
rs2664170-G	8E-9	-	0.32	1.16	-	[1.07-1.24]	GAB3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	X:154717327	19430480	"Barrett JC"
rs12444268-A	2E-7	-	0.30	1.1	-	[1.03-1.17]	GP2,UMOD	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	16:20331250	19430480	"Barrett JC"
rs11755527-?	5E-8	-	NR	-	-	-	BACH2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	6:90248512	19430480	"Barrett JC"
rs12251307-?	1E-13	-	NR	-	-	-	RPL32P23,RBM17	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	10:6081532	19430480	"Barrett JC"
rs7111341-?	4E-48	-	NR	-	-	-	ASCL2,MIR4686	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	11:2191936	19430480	"Barrett JC"
rs12708716-?	2E-16	-	NR	-	-	-	CLEC16A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	16:11086016	19430480	"Barrett JC"
rs229541-?	2E-7	-	NR	-	-	-	C1QTNF6	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	22:37195278	19430480	"Barrett JC"
rs10517086-A	5E-10	-	0.30	1.09	-	[1.02-1.17]	LINC02357	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	4:26083889	19430480	"Barrett JC"
rs7020673-?	5E-12	-	0.50	1.14	-	[1.08-1.20]	GLIS3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	9:4291747	19430480	"Barrett JC"
rs1465788-?	2E-12	-	0.71	1.16	-	[1.10-1.25]	ZFP36L1,MAGOH3P	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	14:68796882	19430480	"Barrett JC"
rs4788084-G	3E-13	-	0.42	1.09	-	[1.02-1.16]	IL27,NUPR1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000392	16:28528527	19430480	"Barrett JC"
rs1701704-C	9E-10	" "	0.35	1.25	-	[1.12-1.40]	IKZF4	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000141	12:56018703	18198356	"Hakonarson H"
rs61839660-?	5E-9	-	NR	1.6	-	[1.44-1.76]	IL2RA	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001394	10:6052734	22293688	"Huang J"
rs1265564-?	1E-16	-	NR	1.45	-	[1.28-1.67]	CUX2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001394	12:111270654	22293688	"Huang J"
rs17696736-G	2E-14	-	0.42	1.34	-	[1.16-1.53]	NAA25	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	12:112049014	17554300	"Wellcome Trust Case Control Consortium"
rs6534347-A	2E-6	" "	0.35	1.3	-	[1.10-1.55]	BLTP1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	4:122277280	17554300	"Wellcome Trust Case Control Consortium"
rs6679677-A	5E-26	-	0.10	1.82	-	[1.59-2.09]	PHTF1,RSBN1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	1:113761186	17554300	"Wellcome Trust Case Control Consortium"
rs11171739-C	1E-11	" "	0.42	1.34	-	[1.17-1.54]	ERBB3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	12:56076841	17554300	"Wellcome Trust Case Control Consortium"
rs12708716-A	5E-7	" "	0.65	1.19	-	[0.97-1.45]	CLEC16A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	16:11086016	17554300	"Wellcome Trust Case Control Consortium"
rs11052552-G	7E-7	-	0.49	1.49	-	[1.28-1.73]	CLECL1P	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	12:9703362	17554300	"Wellcome Trust Case Control Consortium"
rs17388568-A	3E-6	" "	0.26	1.26	-	[1.11-1.42]	ADAD1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	4:122408207	17554300	"Wellcome Trust Case Control Consortium"
rs3764021-C	5E-8	" "	0.47	1.57	-	[1.38-1.79]	CLEC2D	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	12:9681032	17554300	"Wellcome Trust Case Control Consortium"
rs9272346-G	5E-134	" "	0.61	5.49	-	[4.83-6.24]	HLA-DQA1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	6:32636595	17554300	"Wellcome Trust Case Control Consortium"
rs17166496-G	5E-6	" "	0.61	1.3	-	[1.15-1.47]	FSTL4	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000043	5:133293192	17554300	"Wellcome Trust Case Control Consortium"
rs11755527-G	5E-12	" "	0.47	1.13	-	[1.08-1.19]	BACH2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	6:90248512	18978792	"Cooper JD"
rs947474-G	4E-9	" "	0.19	1.1	-	[1.03-1.18]	LINC02649	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	10:6348488	18978792	"Cooper JD"
rs3825932-T	3E-15	-	0.68	1.16	-	[1.10-1.22]	CTSH	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	15:78943104	18978792	"Cooper JD"
rs229541-T	2E-8	-	0.43	1.11	-	[1.05-1.16]	C1QTNF6	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	22:37195278	18978792	"Cooper JD"
rs416603-T	3E-6	" "	0.44	1.06	-	[1.01-1.12]	RMI2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	16:11270222	18978792	"Cooper JD"
rs6679677-A	1E-40	-	NR	-	-	-	PHTF1,RSBN1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	1:113761186	18978792	"Cooper JD"
rs3087243-A	8E-11	-	NR	-	-	-	CTLA4,ICOS	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	2:203874196	18978792	"Cooper JD"
rs17696736-G	6E-18	-	NR	-	-	-	NAA25	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	12:112049014	18978792	"Cooper JD"
rs2292239-A	3E-16	-	NR	-	-	-	ERBB3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	12:56088396	18978792	"Cooper JD"
rs2542151-C	9E-8	-	NR	-	-	-	LINC01882,PTPN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	18:12779948	18978792	"Cooper JD"
rs9272346-G	6E-129	-	NR	-	-	-	HLA-DQA1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	6:32636595	18978792	"Cooper JD"
rs2165738-C	4E-6	-	0.27	1.07	-	[1.01-1.13]	NCOA1,ITSN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	2:24469940	18978792	"Cooper JD"
rs12251307-T	2E-6	-	NR	-	-	-	RPL32P23,RBM17	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	10:6081532	18978792	"Cooper JD"
rs12708716-G	7E-13	-	NR	-	-	-	CLEC16A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000258	16:11086016	18978792	"Cooper JD"
rs17696736-G	2E-16	" "	0.42	1.22	-	[1.15-1.28]	NAA25	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	12:112049014	17554260	"Todd JA"
rs763361-A	1E-8	" "	0.47	1.16	-	[1.10-1.22]	CD226	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	18:69864406	17554260	"Todd JA"
rs1445898-G	8E-6	" "	0.55	1.12	-	[1.06-1.19]	CAPSL	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	5:35910427	17554260	"Todd JA"
rs2292239-A	2E-20	" "	0.34	1.28	-	[1.21-1.35]	ERBB3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	12:56088396	17554260	"Todd JA"
rs12708716-A	3E-18	" "	0.68	1.23	-	[1.16-1.30]	CLEC16A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	16:11086016	17554260	"Todd JA"
rs2542151-C	1E-14	" "	0.16	1.3	-	[1.22-1.40]	LINC01882,PTPN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	18:12779948	17554260	"Todd JA"
rs2476601-T	2E-80	" "	0.09	1.98	-	[1.82-2.15]	PTPN22	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	1:113834946	17554260	"Todd JA"
rs6897932-G	8E-6	" "	0.71	1.12	-	[1.06-1.19]	IL7R	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	5:35874473	17554260	"Todd JA"
rs9653442-G	5E-6	-	0.46	1.11	-	[1.05-1.17]	LINC01104	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	2:100208905	17554260	"Todd JA"
rs6679677-A	8E-24	" "	0.10	1.89	-	[1.67-2.13]	PHTF1,RSBN1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	1:113761186	17554260	"Todd JA"
rs3741208-T	2E-7	" "	0.38	1.25	-	[1.15-1.35]	INS-IGF2,IGF2-AS,IGF2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	11:2148544	17554260	"Todd JA"
rs1990760-A	2E-11	" "	0.60	1.18	-	[1.11-1.23]	IFIH1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000038	2:162267541	17554260	"Todd JA"
rs3757247-A	1E-6	" "	NR	1.13	-	[1.08-1.19]	BACH2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000244	6:90247744	18840781	"Grant SF"
rs8035957-C	4E-6	" "	NR	1.14	-	[1.08-1.21]	RASGRP1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000244	15:38546063	18840781	"Grant SF"
rs9976767-C	2E-8	" "	NR	1.16	-	[1.10-1.22]	UBASH3A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000244	21:42416281	18840781	"Grant SF"
rs1983853-?	2E-6	" "	NR	1.2	-	[1.11-1.29]	LPAR3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000244	1:84845509	18840781	"Grant SF"
rs10758593-A	3E-6	" "	NR	1.13	-	[1.07-1.19]	GLIS3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000244	9:4292083	18840781	"Grant SF"
rs1004446-C	4E-9	" "	0.65	1.61	-	[1.37-1.89]	IGF2,INS-IGF2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000054	11:2148913	17632545	"Hakonarson H"
rs2903692-G	7E-11	" "	0.62	1.54	-	[1.32-1.79]	CLEC16A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000054	16:11144926	17632545	"Hakonarson H"
rs2476601-A	1E-7	" "	0.09	1.8	-	[1.44-2.24]	PTPN22	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000054	1:113834946	17632545	"Hakonarson H"
rs2647044-A	1E-16	-	0.13	8.3	-	[6.97-9.89]	HLA-DQB1,MTCO3P1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST000054	6:32700133	17632545	"Hakonarson H"
rs3024505-G	5E-10	-	NR	1.2	-	[NR]	Y_RNA,IL10	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	1:206766559	21829393	"Plagnol V"
rs1990760-C	2E-14	-	NR	1.2	-	[NR]	IFIH1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	2:162267541	21829393	"Plagnol V"
rs17388568-A	6E-6	-	NR	1.1	-	[NR]	ADAD1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	4:122408207	21829393	"Plagnol V"
rs12722495-A	1E-38	-	NR	1.61	-	[NR]	IL2RA	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	10:6055320	21829393	"Plagnol V"
rs1004446-G	3E-23	-	NR	1.4	-	[NR]	IGF2,INS-IGF2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	11:2148913	21829393	"Plagnol V"
rs2292239-T	3E-27	-	NR	1.3	-	[NR]	ERBB3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	12:56088396	21829393	"Plagnol V"
rs12708716-G	5E-14	-	NR	1.2	-	[NR]	CLEC16A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	16:11086016	21829393	"Plagnol V"
rs3788013-A	1E-7	-	NR	1.1	-	[NR]	UBASH3A	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	21:42421219	21829393	"Plagnol V"
rs743777-G	2E-6	-	NR	1.1	-	[NR]	IL2RB	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	22:37155567	21829393	"Plagnol V"
rs3087243-A	2E-17	-	NR	1.2	-	[NR]	CTLA4,ICOS	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	2:203874196	21829393	"Plagnol V"
rs2069762-A	5E-7	-	NR	1.12	-	[NR]	IL21,IL2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	4:122456825	21829393	"Plagnol V"
rs4788084-C	1E-8	-	NR	1.15	-	[NR]	IL27,NUPR1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	16:28528527	21829393	"Plagnol V"
rs763361-C	1E-9	-	NR	1.12	-	[NR]	CD226	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	18:69864406	21829393	"Plagnol V"
rs2304256-?	1E-10	-	NR	-	-	-	TYK2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	19:10364976	21829393	"Plagnol V"
rs2476601-A	2E-111	-	NR	2.0	-	[NR]	PTPN22	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	1:113834946	21829393	"Plagnol V"
rs3184504-T	2E-38	-	NR	1.3	-	[NR]	SH2B3,ATXN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	12:111446804	21829393	"Plagnol V"
rs7171171-G	2E-7	-	NR	-	-	-	LINC02694,RASGRP1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	15:38614840	21829393	"Plagnol V"
rs11755527-G	3E-8	-	NR	1.1	-	[NR]	BACH2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	6:90248512	21829393	"Plagnol V"
rs1701704-T	5E-18	-	NR	1.25	-	[NR]	IKZF4	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	12:56018703	21829393	"Plagnol V"
rs2872507-A	2E-6	-	NR	1.1	-	[NR]	ZPBP2,GSDMB	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	17:39884510	21829393	"Plagnol V"
rs689-A	5E-196	-	NR	-	-	-	INS,INS-IGF2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	11:2160994	21829393	"Plagnol V"
rs2542151-G	4E-13	-	NR	1.3	-	[NR]	LINC01882,PTPN2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST001191	18:12779948	21829393	"Plagnol V"
rs3864055-T	6E-6	-	NR	1.79	-	[1.39-2.31]	CD24P5,Y_RNA	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	3:5093886	30552108	"Kawabata Y"
rs12644905-C	4E-6	-	NR	1.91	-	[1.45-2.52]	ACSL1,CENPU	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	4:184755529	30552108	"Kawabata Y"
rs12203596-C	6E-6	-	NR	2.84	-	[1.78-4.53]	STMND1	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	6:17120009	30552108	"Kawabata Y"
rs9356171-A	9E-6	-	NR	1.9	-	[1.43-2.52]	C6orf118,RN7SL366P	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	6:163922743	30552108	"Kawabata Y"
rs7871386-C	5E-6	-	NR	2.54	-	[1.69-3.83]	SUMO2P2,LINC01239	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	9:23166744	30552108	"Kawabata Y"
rs5790666-?	8E-9	-	NR	2.32	-	[1.65-3.26]	BDNF,CBX3P1	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	11:27778324	30552108	"Kawabata Y"
rs11170445-T	8E-9	-	NR	1.96	-	[1.56-2.46]	HIGD1AP1,EIF4A1P4	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	12:53151908	30552108	"Kawabata Y"
rs178050-A	7E-6	-	NR	1.66	-	[1.33-2.07]	PI4KA	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	22:20814301	30552108	"Kawabata Y"
rs9268853-?	2E-23	-	NR	3.18	-	[2.53-4.01]	HLA-DRB9	"Fulminant type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST007433	6:32461866	30552108	"Kawabata Y"
rs10751776-C	3E-8	-	0.509915	-	"0.07814535 unit increase"	[0.051-0.106]	MIR4425,RUNX3	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST90014023	1:24970252	34012112	"Chiou J"
rs574384-A	2E-8	-	0.894668	-	"0.13360222 unit decrease"	[0.087-0.18]	PSMB2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST90014023	1:35622060	34012112	"Chiou J"
rs12742756-G	4E-8	-	0.428204	-	"0.08310696 unit decrease"	[0.054-0.113]	INPP5B	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST90014023	1:37881745	34012112	"Chiou J"
rs855330-C	5E-11	-	0.259422	-	"0.111207716 unit increase"	[0.078-0.144]	PGM1	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST90014023	1:63648218	34012112	"Chiou J"
rs1493696-A	8E-9	-	0.13231	-	"0.12832591 unit increase"	[0.085-0.172]	NOTCH2	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST90014023	1:119962909	34012112	"Chiou J"
rs570794153-GA	4E-11	-	0.139675	-	"0.14543974 unit decrease"	[0.1-0.19]	ATP6V1G3,PTPRC	"Type 1 diabetes"	"type 1 diabetes mellitus"	-	GCST90014023	1:198629260	34012112	"Chiou J"
